id,sentence,condition2,condition1,v2,comma,type,condition,grammaticality,writer,Group
1081,We adopted a dog that was trained by a handler who specializes in rescuing animals that assist firefighters.,filler,filler,filler,filler,filler,r_branch,1,Hande,filler
1088,The heavy backpack was picked up by the teacher who despised children who talked too much,filler,filler,filler,filler,filler,r_branch,1,Jackson,filler
1089,The very full trash was emptied by the happy janitor who loved himself too much,filler,filler,filler,filler,filler,r_branch,1,Jackson,filler
1094,The furniture was lost by the student who turned themself into the police station for disorderly conduct,filler,filler,filler,filler,filler,r_branch,1,Jackson,filler
1005,"The five-year-old kid who is well-trusted by the family, was planning a hiking trip, in the mountains.",filler,filler,filler,filler,filler,1_embed,0,Carmen,filler
1007,"The orchestra hired a conductor, who is known for forgetting to bring his baton.",filler,filler,filler,filler,filler,r_branch,0,Carmen,filler
1009,I think who I know the candidate is I interviewed with the board this morning.,filler,filler,filler,filler,filler,island,0,Carmen,filler
1012,Mary forgot which planet she wanted to return the book on Sunday before the demon destroys.,filler,filler,filler,filler,filler,island,0,Carmen,filler
1015,The robot had to replace the wires itself had installed.,filler,filler,filler,filler,filler,binding,0,Will,filler
1016,The scientist had no idea what book the author who wrote gave the talk.,filler,filler,filler,filler,filler,island,0,Will,filler
1017,The waiter wondered what the customer ordered and eggs.,filler,filler,filler,filler,filler,coordinate,0,Will,filler
1033,"The production of the drama series has been halted, since the major acting crew boycotted itself.",filler,filler,filler,filler,filler,r_branch,0,Matthew,filler
1034,"Unanimously approved, the investment proposal aimed the company to promote clean energy in the industry.",filler,filler,filler,filler,filler,r_branch,0,Matthew,filler
1036,The readers asked what the local library kept the indoor temperature very low because most books are sensitive to.,filler,filler,filler,filler,filler,r_branch,0,Matthew,filler
1039,The scientists wondered when the controversial physics question puzzled the academia for years before the cold war ended.,filler,filler,filler,filler,filler,1_embed,0,Matthew,filler
1040,The social worker kept wondering who the parents hired the new babysitter and tried to get rid of.,filler,filler,filler,filler,filler,1_embed,0,Matthew,filler
1043,"In Zootopia, the gorillas, pandas, and llamas were fined the zoo patrol police for speeding.",filler,filler,filler,filler,filler,conjunction,0,Matthew,filler
1046,"John knew what the eating contest, which took place on Saturday, crowned two winners after someone complained about.",filler,filler,filler,filler,filler,r_branch,0,Tessa,filler
1047,The preschool teacher asked the kids which cookies and juice to drink they preferred to eat after napping.,filler,filler,filler,filler,filler,coordinate,0,Tessa,filler
1048,"The butler who worked for the millionaire, who for thirty years walked out of his house, for the last time yesterday.",filler,filler,filler,filler,filler,1_embed,0,Tessa,filler
1054,The software engineer asked his boss which program was best for himself after writing.,filler,filler,filler,filler,filler,1_embed,0,Tessa,filler
1055,"From under the bed the cat saw, which paws of the dog, who hunted scared away.",filler,filler,filler,filler,filler,r_branch,0,Tessa,filler
1057,"The watch on the TV commercial, which played all night, was bought for himself on the producer's behalf.",filler,filler,filler,filler,filler,1_embed,0,Tessa,filler
1066,She bought a book and a magazine that everyone was curious about why was so popular.,filler,filler,filler,filler,filler,r_branch,0,Danni,filler
1067,The fact that John won a prize for his symphony surprised everyone who couldn't figure out who composed.,filler,filler,filler,filler,filler,r_branch,0,Danni,filler
1070,The restaurant where we ate which serves Italian food that my friend recommended is nearby.,filler,filler,filler,filler,filler,r_branch,0,Danni,filler
1071,"She, walked to the store, bought some milk, and, then came back home.",filler,filler,filler,filler,filler,commas,0,Danni,filler
1075,He found a restaurant and a cafe that nobody could explain how became so famous.,filler,filler,filler,filler,filler,1_embed,0,Hande,filler
1076,She discovered a bookstore and a gallery that no one could remember how first became so popular.,filler,filler,filler,filler,filler,1_embed,0,Hande,filler
